Package	Version
ade4	1.7-19
ape	5.5
aplot	0.1.1
askpass	1.1
assertthat	0.2.1
backports	1.4.1
base64enc	0.1-3
BiocManager	1.30.16
BiocVersion	3.14.0
bit	4.0.4
bit64	4.0.5
blob	1.2.3
brew	1.0-8
brio	1.1.3
broom	0.8.0
bslib	0.3.1
cachem	1.0.6
callr	3.7.0
cellranger	1.1.0
classInt	0.4-8
cli	3.4.1
clipr	0.8.0
clusterGeneration	1.3.7
coda	0.19-4
colorspace	2.0-2
combinat	0.0-8
commonmark	1.8.1
cpp11	0.4.2
crayon	1.4.2
credentials	1.3.2
curl	4.3.2
data.table	1.14.2
DBI	1.1.2
dbplyr	2.1.1
desc	1.4.2
devtools	2.4.5
diffobj	0.3.5
digest	0.6.29
downlit	0.4.2
dplyr	1.0.7
dtplyr	1.2.1
e1071	1.7-12
ellipsis	0.3.2
evaluate	0.15
expm	0.999-6
fansi	0.5.0
farver	2.1.0
fastmap	1.1.0
fastmatch	1.1-3
fontawesome	0.4.0
forcats	1.0.0
fs	1.5.2
gargle	1.2.0
generics	0.1.1
gert	1.9.1
ggfun	0.0.4
ggplot2	3.3.5
ggplotify	0.1.0
ggrepel	0.9.1
ggtree	3.2.1
gh	1.3.1
gitcreds	0.1.2
glue	1.5.1
googledrive	2.0.0
googlesheets4	1.0.0
gridExtra	2.3
gridGraphics	0.5-1
gtable	0.3.0
gtools	3.9.3
haven	2.5.0
highr	0.9
hms	1.1.1
htmltools	0.5.2
htmlwidgets	1.5.4
httpuv	1.6.6
httr	1.4.3
ids	1.0.1
igraph	1.2.9
ini	0.3.1
isoband	0.2.5
jquerylib	0.1.4
jsonlite	1.7.2
knitr	1.39
labeling	0.4.2
later	1.3.0
lazyeval	0.2.2
lifecycle	1.0.1
lubridate	1.8.0
magrittr	2.0.1
mapdata	2.3.0
maps	3.4.0
markdown	1.5
memoise	2.0.1
mime	0.12
miniUI	0.1.1.1
mnormt	2.0.2
modelr	0.1.8
munsell	0.5.0
numDeriv	2016.8-1.1
openssl	2.0.4
patchwork	1.1.1
phangorn	2.8.0
phytools	0.7-90
pillar	1.6.4
pixmap	0.4-12
pkgbuild	1.3.1
pkgconfig	2.0.3
pkgdown	2.0.6
pkgload	1.3.2
plotrix	3.8-2
plyr	1.8.8
praise	1.0.0
prettyunits	1.1.1
processx	3.5.3
profvis	0.3.7
progress	1.2.2
promises	1.2.0.1
proxy	0.4-27
ps	1.7.0
purrr	0.3.4
quadprog	1.5-8
R6	2.5.1
ragg	1.2.4
rappdirs	0.3.3
rcmdcheck	1.4.0
RColorBrewer	1.1-2
Rcpp	1.0.7
readr	2.1.2
readxl	1.4.0
rematch	1.0.1
rematch2	2.1.2
remotes	2.4.2
reprex	2.0.1
reshape2	1.4.4
rlang	1.0.6
rmarkdown	2.14
roxygen2	7.2.2
rprojroot	2.0.3
rstudioapi	0.13
rversions	2.1.2
rvest	1.0.2
s2	1.1.1
sass	0.4.1
scales	1.1.1
scatterplot3d	0.3-41
segmented	1.6-0
selectr	0.4-2
seqinr	4.2-16
sessioninfo	1.2.2
sf	1.0-12
shiny	1.7.3
sourcetools	0.1.7
sp	1.5-0
stringi	1.7.6
stringr	1.4.0
svglite	2.1.1
sys	3.4
systemfonts	1.0.4
testthat	3.1.5
textshaping	0.3.6
tibble	3.1.6
tidyr	1.1.4
tidyselect	1.1.1
tidytree	0.3.6
tidyverse	1.3.2
tinytex	0.39
tmvnsim	1.0-2
treeio	1.18.1
tzdb	0.3.0
units	0.8-0
urlchecker	1.0.1
usethis	2.1.6
utf8	1.2.2
uuid	1.1-0
vctrs	0.3.8
viridisLite	0.4.0
vroom	1.5.7
waldo	0.4.0
whisker	0.4
withr	2.5.0
wk	0.7.1
xfun	0.37
xml2	1.3.3
xopen	1.0.0
xtable	1.8-4
yaml	2.3.5
yulab.utils	0.0.4
zip	2.2.2
translations	4.1.2